functionname	protocol	device	subdevice	function
power	nec1	0	-1	77
1	nec1	0	-1	16
2	nec1	0	-1	3
3	nec1	0	-1	1
4	nec1	0	-1	9
5	nec1	0	-1	29
6	nec1	0	-1	31
7	nec1	0	-1	25
8	nec1	0	-1	27
9	nec1	0	-1	17
0	nec1	0	-1	23
mute	nec1	0	-1	15
home	nec1	0	-1	6
mode	nec1	0	-1	13
alarm	nec1	0	-1	21
local	nec1	0	-1	76
vol+	nec1	0	-1	72
vol-	nec1	0	-1	5
sleep	nec1	0	-1	24
info	nec1	0	-1	4
up	nec1	0	-1	14
down	nec1	0	-1	26
left	nec1	0	-1	10
right	nec1	0	-1	30
enter	nec1	0	-1	84
left arrow	nec1	0	-1	0
right arrow	nec1	0	-1	28
favorite -	nec1	0	-1	64
	nec1	0	-1	22
